PRICES FOR EMPLOYERS & INSTRUCTORS
When You or Your Employee is The Instructor
As a Lifeguard Instructor, Water Safety Swim Instructor Trainer, or CPR & First Aid Instructor, you may buy hugely discounted certification courses for the candidates you intend to certify. 

Each of your candidates need a Home-Study Course Ticket to access their required Home-Study Course. 
The more tickets you buy the lower your price per ticket.
Your tickets are freely transferable and reusable. You do not lose any money if your candidates quit, fail, or cancel because you can simply reassign the ticket to another candidate. The new candidate will start at the beginning of the Home-Study Course. You may repeat this process of transferring or reusing the ticket, until the ticket eventually generates a certification. 
Save between 65-85% per ticket. 
Have no worries, your tickets never expire!
NOTICE:  This table displays the Home-Study Course prices per candidate. This table does NOT include the Instructor-Led Training, which you must provide. 

Pricing Example #1:  If you buy 6 Junior Lifeguard Home-Study Course Tickets, your price is $52.50 per ticket, and it does NOT include the Instructor-Led Training, which you must provide. 

Pricing Example #2: If you buy 11 Shallow Pool Lifeguard (max depth 5′) Home-Study Course Tickets, your price is $99.99 per ticket, and it does NOT include the Instructor-Led Training, which you must provide.

 

Lifeguard Certification Courses	BUY 1-4 TICKETS & Get this Price per Ticket	BUY 5-9 TICKETS & Get this Price per Ticket	BUY 10-24 TICKETS & Get this Price per Ticket	BUY 25-49 TICKETS & Get this Price per Ticket	BUY 50-99 TICKETS & Get this Price per Ticket	BUY 100+ TICKETS & Get this Price per Ticket
Junior Lifeguard	$62.50	$52.50	$42.50	$32.50	$22.50	$12.50
Shallow Pool Lifeguard (max depth 5’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Shallow Pool + Youth Camp Lifeguard (max depth 5’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Swimming Pool Lifeguard (max depth 12’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Swimming Pool + Youth Camp Lifeguard (max depth 12’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Deep Pool Lifeguard (max depth 20’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Deep Pool + Youth Camp Lifeguard (max depth 20’)	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Waterfront Lifeguard / Beach Lifeguard	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Waterfront + Youth Camp Lifeguard	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Water Park Lifeguard	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Water Park + Youth Camp Lifeguard	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
All Specialties Lifeguard	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Lifeguard Recertification / Renewal	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Lifeguard Instructor	$249.50	$239.50	$229.50	$219.50	$209.50	$199.50
Lifeguard Instructor Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
Lifeguard Instructor Trainer (pre-requisite Lifeguard Instructor)	$249.50	$239.50	$229.50	$219.50	$209.50	$199.50
Lifeguard Instructor Trainer Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
Water Safety Swim Instructor Courses	BUY 1-4 TICKETS & Get this Price per Ticket	BUY 5-9 TICKETS & Get this Price per Ticket	BUY 10-24 TICKETS & Get this Price per Ticket	BUY 25-49 TICKETS & Get this Price per Ticket	BUY 50-99 TICKETS & Get this Price per Ticket	BUY 100+ TICKETS & Get this Price per Ticket
Basic Water Safety	$99.00	$89.00	$79.00	$69.00	$59.00	$49.00
Basic Water Safety Recertification / Renewal	$99.00	$89.00	$79.00	$69.00	$59.00	$49.00
Water Safety Swim Instructor	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Water Safety Swim Instructor Recertification / Renewal	$129.99	$119.99	$99.99	$89.99	$79.99	$59.99
Water Safety Swim Instructor Trainer (pre-requisite Water Safety Swim Instructor)	$249.50	$239.50	$229.50	$219.50	$209.50	$199.50
Water Safety Swim Instructor Trainer Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
Water Safety Swim Instructor Trainer Director (pre-requisite Water Safety Swim Instructor Trainer)	$249.50	$239.50	$229.50	$219.50	$209.50	$199.50
Water Safety Swim Instructor Trainer Director Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
CPR & First Aid Courses	BUY 1-4 TICKETS & Get this Price per Ticket	BUY 5-9 TICKETS & Get this Price per Ticket	BUY 10-24 TICKETS & Get this Price per Ticket	BUY 25-49 TICKETS & Get this Price per Ticket	BUY 50-99 TICKETS & Get this Price per Ticket	BUY 100+ TICKETS & Get this Price per Ticket
CPR BLS for Healthcare Provider (Adult. Child & Infant with AED)	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
CPR Recertification / Renewal	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
First Aid	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
First Aid Recertification / Renewal	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
CPR BLS for Healthcare Provider & First Aid	$49.99	$44.99	$39.99	$34.99	$29.99	$24.99
CPR BLS for Healthcare Provider & First Aid Recertification / Renewal	$49.99	$44.99	$39.99	$34.99	$29.99	$24.99
CPR BLS for Healthcare Provider & First Aid Instructor	$149.50	$139.50	$129.50	$119.50	$109.50	$99.50
CPR BLS for Healthcare Provider & First Aid Instructor Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
CPR BLS for Healthcare Provider & First Aid Instructor Trainer (pre-requisite CPR & First Aid Instructor)	$149.50	$139.50	$129.50	$119.50	$109.50	$99.50
CPR BLS for Healthcare Provider & First Aid Instructor Trainer Recertification / Renewal	$99.50	$89.50	$79.50	$69.50	$59.50	$49.50
Bloodborne Pathogens	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
Oxygen Administrator	$39.99	$34.99	$29.99	$24.99	$19.99	$14.99
Oxygen Administrator Instructor	$149.50	$139.50	$129.50	$119.50	$109.50	$99.50
Oxygen Administrator Instructor Recertification / Renewal	$149.50	$139.50	$129.50	$119.50	$109.50	$99.50
Certified Pool Operator Course	BUY 1-4 TICKETS & Get this Price per Ticket	BUY 5-9 TICKETS & Get this Price per Ticket	BUY 10-24 TICKETS & Get this Price per Ticket	BUY 25-49 TICKETS & Get this Price per Ticket	BUY 50-99 TICKETS & Get this Price per Ticket	BUY 100+ TICKETS & Get this Price per Ticket
Certified Pool Operator (CPO)	$365.00	$365.00	$365.00	$365.00	$365.00	$365.00
1 Ticket = 1 Course Participant
